Method,Env,Dim,Scale,Type,mean,std,n
disentangled_barlow,hopper-medium-v2,3,0.5,nonlinear,48.566800240113764,4.733691163020898,3
disentangled_barlow,hopper-medium-v2,3,1.0,nonlinear,45.57969576896226,4.325873488160044,3
disentangled_barlow,hopper-medium-v2,3,1.5,nonlinear,48.00958204078296,1.693971539627137,3
disentangled_barlow,hopper-medium-v2,3,2.0,nonlinear,45.922836322677995,0.9363957029758443,3
disentangled_barlow,hopper-medium-v2,6,0.5,nonlinear,44.86975943797179,2.3160366004609276,3
disentangled_barlow,hopper-medium-v2,6,1.0,nonlinear,44.31872248823577,3.759574521197698,3
disentangled_barlow,hopper-medium-v2,6,1.5,nonlinear,44.11654412535234,0.8791458203181622,3
disentangled_barlow,hopper-medium-v2,6,2.0,nonlinear,42.763150160579414,1.0515493635508248,3
disentangled_barlow,hopper-medium-v2,8,0.5,nonlinear,45.997389212076456,3.849618972487446,3
disentangled_barlow,hopper-medium-v2,8,1.0,nonlinear,45.06942451426941,2.137541395028924,3
disentangled_barlow,hopper-medium-v2,8,1.5,nonlinear,43.36711384479267,5.785993920412274,3
disentangled_barlow,hopper-medium-v2,8,2.0,nonlinear,41.12221258392841,1.7860232402048302,3
disentangled_barlow,hopper-medium-v2,11,0.5,nonlinear,47.28248294437537,2.126571603094283,3
disentangled_barlow,hopper-medium-v2,11,1.0,nonlinear,46.00284676632406,2.4729892827048494,3
disentangled_barlow,hopper-medium-v2,11,1.5,nonlinear,42.531309477582234,0.9630504118101224,3
disentangled_barlow,hopper-medium-v2,11,2.0,nonlinear,39.37370100397104,5.506228197540449,3
disentangled_dcor,hopper-medium-v2,3,0.5,nonlinear,49.709314897925076,8.72192856990482,3
disentangled_dcor,hopper-medium-v2,3,1.0,nonlinear,45.23344987758211,3.0776212562039262,3
disentangled_dcor,hopper-medium-v2,3,1.5,nonlinear,48.14131557786218,7.3797679672383465,3
disentangled_dcor,hopper-medium-v2,3,2.0,nonlinear,46.192488374572314,1.4954222494421567,3
disentangled_dcor,hopper-medium-v2,6,0.5,nonlinear,46.76338771922133,2.0187630333524633,3
disentangled_dcor,hopper-medium-v2,6,1.0,nonlinear,47.11380517526586,1.9167739328214297,3
disentangled_dcor,hopper-medium-v2,6,1.5,nonlinear,42.517402750973794,6.654433309848743,3
disentangled_dcor,hopper-medium-v2,6,2.0,nonlinear,44.020376569522085,0.9355668831062224,3
disentangled_dcor,hopper-medium-v2,8,0.5,nonlinear,48.5056492420197,1.2816882515353958,3
disentangled_dcor,hopper-medium-v2,8,1.0,nonlinear,47.363965747928724,2.919536097617147,3
disentangled_dcor,hopper-medium-v2,8,1.5,nonlinear,49.823027466987746,7.38827005463996,3
disentangled_dcor,hopper-medium-v2,8,2.0,nonlinear,44.78592901416838,4.549814680018002,3
disentangled_dcor,hopper-medium-v2,11,0.5,nonlinear,42.6552055733328,9.424919326630718,3
disentangled_dcor,hopper-medium-v2,11,1.0,nonlinear,43.47198576573121,2.4039503180376247,3
disentangled_dcor,hopper-medium-v2,11,1.5,nonlinear,42.69639223346446,3.1281296846786555,3
disentangled_dcor,hopper-medium-v2,11,2.0,nonlinear,37.05768236024915,4.0487515480236365,3
disentangled_hsic,hopper-medium-v2,3,0.5,nonlinear,45.663533898805504,3.109736615045879,3
disentangled_hsic,hopper-medium-v2,3,1.0,nonlinear,43.935410412417916,3.693613079297714,3
disentangled_hsic,hopper-medium-v2,3,1.5,nonlinear,44.966612409317996,2.441850449367104,3
disentangled_hsic,hopper-medium-v2,3,2.0,nonlinear,42.67048238182162,2.902247643431059,3
disentangled_hsic,hopper-medium-v2,6,0.5,nonlinear,43.744486498628454,2.4159092660038777,3
disentangled_hsic,hopper-medium-v2,6,1.0,nonlinear,42.54034395981375,2.3295462144399686,3
disentangled_hsic,hopper-medium-v2,6,1.5,nonlinear,43.9806930685256,1.993953236068183,3
disentangled_hsic,hopper-medium-v2,6,2.0,nonlinear,43.33467989785643,5.474850368107867,3
disentangled_hsic,hopper-medium-v2,8,0.5,nonlinear,46.37301797147143,2.2644222577115816,3
disentangled_hsic,hopper-medium-v2,8,1.0,nonlinear,46.88020543016756,2.5943294271804023,3
disentangled_hsic,hopper-medium-v2,8,1.5,nonlinear,43.65776245254548,1.9158227848790617,3
disentangled_hsic,hopper-medium-v2,8,2.0,nonlinear,41.572914669167304,0.7039758778142506,3
disentangled_hsic,hopper-medium-v2,11,0.5,nonlinear,47.14666904746934,4.072607327534078,3
disentangled_hsic,hopper-medium-v2,11,1.0,nonlinear,43.139934026996336,4.060842197986206,3
disentangled_hsic,hopper-medium-v2,11,1.5,nonlinear,40.81148636203148,3.024283195572525,3
disentangled_hsic,hopper-medium-v2,11,2.0,nonlinear,39.98919985256784,1.7543988258977112,3
plain,hopper-medium-v2,3,0.5,nonlinear,47.68764080285994,3.634944221130806,3
plain,hopper-medium-v2,3,1.0,nonlinear,46.137482158687156,1.2575263536657548,3
plain,hopper-medium-v2,3,1.5,nonlinear,43.27073747358369,1.5665005810331216,3
plain,hopper-medium-v2,3,2.0,nonlinear,41.658343694106456,5.2662786684873035,3
plain,hopper-medium-v2,6,0.5,nonlinear,48.64892821541466,2.242931695223677,3
plain,hopper-medium-v2,6,1.0,nonlinear,44.67909872042986,1.8551927895390812,3
plain,hopper-medium-v2,6,1.5,nonlinear,43.096774728794145,1.6309380191467622,3
plain,hopper-medium-v2,6,2.0,nonlinear,40.31305017551853,1.5331052136972305,3
plain,hopper-medium-v2,8,0.5,nonlinear,45.142891527576246,2.056848999730313,3
plain,hopper-medium-v2,8,1.0,nonlinear,41.93534813892111,3.792020605499158,3
plain,hopper-medium-v2,8,1.5,nonlinear,42.557364058770105,4.575052192337408,3
plain,hopper-medium-v2,8,2.0,nonlinear,39.287702108554846,6.1989372174692905,3
plain,hopper-medium-v2,11,0.5,nonlinear,44.225901304305744,0.44025618956744167,3
plain,hopper-medium-v2,11,1.0,nonlinear,39.468233426462525,3.8144261949660105,3
plain,hopper-medium-v2,11,1.5,nonlinear,39.38888004011623,5.690322013835013,3
plain,hopper-medium-v2,11,2.0,nonlinear,33.87114214629922,0.2812580716840117,3
raw_noisy,hopper-medium-v2,3,0.5,nonlinear,44.878324859730434,3.061271205562504,3
raw_noisy,hopper-medium-v2,3,1.0,nonlinear,46.04605347372902,0.7851853664786526,3
raw_noisy,hopper-medium-v2,3,1.5,nonlinear,42.21415379649621,3.089933564832188,3
raw_noisy,hopper-medium-v2,3,2.0,nonlinear,44.427010032639906,4.477443896486874,3
raw_noisy,hopper-medium-v2,6,0.5,nonlinear,41.76620600230302,3.607643939970997,3
raw_noisy,hopper-medium-v2,6,1.0,nonlinear,42.19557859961582,0.7606862878732106,3
raw_noisy,hopper-medium-v2,6,1.5,nonlinear,42.742804452418085,1.605208869436002,3
raw_noisy,hopper-medium-v2,6,2.0,nonlinear,44.20486144865706,3.954017705597941,3
raw_noisy,hopper-medium-v2,8,0.5,nonlinear,45.09274930229713,2.7989024667656897,3
raw_noisy,hopper-medium-v2,8,1.0,nonlinear,45.85202791641476,4.101376716204108,3
raw_noisy,hopper-medium-v2,8,1.5,nonlinear,42.87520748036065,2.455688928266283,3
raw_noisy,hopper-medium-v2,8,2.0,nonlinear,36.207759194555095,0.9450876509493945,3
raw_noisy,hopper-medium-v2,11,0.5,nonlinear,42.782126553762616,4.497996192337928,3
raw_noisy,hopper-medium-v2,11,1.0,nonlinear,45.286754102226546,5.548825623348462,3
raw_noisy,hopper-medium-v2,11,1.5,nonlinear,42.75729723156462,4.024431358490624,3
raw_noisy,hopper-medium-v2,11,2.0,nonlinear,34.31368370725827,1.8062775441675953,3
